BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,YEAR BUILT,SALE PRICE,SALE DATE
3,KENSINGTON,09 COOPS - WALKUP APARTMENTS               ,2,5329,62,"179 OCEAN PARKWAY, 3A",11218,0,0,0,0,1923,389000,8/1/2017
3,BAY RIDGE,02 TWO FAMILY DWELLINGS                    ,1,5911,8,7205 6 AVENUE,11209,2,0,2,2177,1910,0,5/30/2017
1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1512,1,"983 PARK AVENUE, 3C",10028,0,0,0,0,1927,7600000,5/10/2017
4,ROCKAWAY PARK,03 THREE FAMILY DWELLINGS                  ,1,16213,16,241 BEACH 117 STREET,11694,3,0,3,4000,1905,0,5/12/2017
4,DOUGLASTON,02 TWO FAMILY DWELLINGS                    ,1,8304,28,245-71 61ST   AVENUE,11362,2,0,2,3600,1950,844180,6/27/2017
3,CYPRESS HILLS,02 TWO FAMILY DWELLINGS                    ,1,4109,32,39 LINCOLN AVENUE,11208,2,0,2,2450,1901,805000,6/7/2017
2,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY DWELLINGS                    ,1,2869,53,103 WEST TREMONT AVENUE,10453,2,0,2,4566,1910,475000,8/24/2017
3,FLATBUSH-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,5242,27,789 EAST 21ST   STREET,11210,2,0,2,4000,1915,1125000,4/21/2017
4,BAYSIDE,01 ONE FAMILY DWELLINGS                    ,1,7336,12,45-12 217 STREET,11361,1,0,1,2600,1955,0,5/4/2017
5,GREAT KILLS,01 ONE FAMILY DWELLINGS                    ,1,5234,41,426 ROBINSON AVENUE,10312,1,0,1,4275,1950,0,4/13/2017
2,PARKCHESTER,13 CONDOS - ELEVATOR APARTMENTS            ,2,3944,3945,1591 METROPOLITAN AVENUE,10462,1,0,1,0,0,0,4/14/2017
5,NEW BRIGHTON,05 TAX CLASS 1 VACANT LAND                 ,1B,106,10,STANLEY AVENUE,10301,0,0,0,2525,0,85000,4/3/2017
1,UPPER WEST SIDE (59-79),45 CONDO HOTELS                            ,4,1138,1474,1965 BROADWAY,10023,0,0,1,0,0,175000,3/28/2017
5,NEW DORP,01 ONE FAMILY DWELLINGS                    ,1,4222,56,108 CODDINGTON AVENUE,10306,1,0,1,4000,1920,420000,8/10/2017
